day,pool_balance_eth,pending_liabilities_eth,solvency_ratio,total_premiums_collected_eth,total_payouts_eth,profit_eth,madj_current,m_total_current,premiums_today,payouts_today,net_flow_today,n_claims_submitted,n_claims_approved,avg_payout_eth,patt_current,n_swaps_this_tick,n_swaps_insured,n_attacks_this_tick,avg_loss_eth,tint_today,vbase_today,e_today,term2_today,n_users_active,avg_claim_rate
87,17672.979117478048,200.57554260310533,88.1113364476793,18896.097131272643,1323.1180137944548,17572.97911747819,0.0,0.2,466.88640083297287,27.748092157955398,439.13830867501747,59,59,0.4703066467450072,0.015557877397097247,8132,8132,59,0.4703066467450072,8000.0,100.0,0.2,0.02,2692,0.008106877302341015
88,18081.203743414026,70.11234746876457,257.8890080876168,19314.242648275547,1333.038904861377,17981.20374341417,0.0,0.2,418.14551700290394,9.920891066922195,408.22462593598175,25,25,0.3968356426768703,0.004488955274737064,8210,8210,25,0.3968356426768703,8000.0,100.0,0.2,0.02,2745,0.0077910625861269175
89,18582.58126765531,25.18489692490564,737.8462307415194,19819.147974529315,1336.5667068738574,18482.581267655456,0.0,0.2,504.90532625376727,3.527802012480379,501.3775242412869,12,12,0.29398350104001425,0.02140337841365052,8373,8373,12,0.29398350104001425,8000.0,100.0,0.2,0.02,2799,0.007426284208944949
90,18961.599705522945,471.76465808432926,40.19292115377898,20265.153345685165,1403.5536401620832,18861.59970552308,0.0,0.2,446.0053711558503,66.98693328822583,379.01843786762447,177,177,0.378457250215964,0.008457999061292219,8424,8424,177,0.378457250215964,8000.0,100.0,0.2,0.02,2854,0.008393075277581662
91,19394.604472611147,10.301827579127863,1882.6372625286226,20699.58033528646,1404.9758626751786,19294.60447261128,0.0,0.2,434.42698960129565,1.4222225130954484,433.0047670882002,3,3,0.4740741710318268,0.001,8717,8717,3,0.4740741710318268,8000.0,100.0,0.2,0.02,2911,0.007782106401624961
92,19820.096673750417,497.4292245660234,39.84505874386902,21194.183493384364,1474.0868196338183,19720.096673750544,0.0,0.2,494.60315809790336,69.11095695863969,425.49220113926367,157,157,0.44019717808050884,0.011999951279783358,8963,8963,157,0.44019717808050884,8000.0,100.0,0.2,0.02,2969,0.00874173670278307
93,20332.034420082877,39.99846610341566,508.3203532734129,21711.764163781627,1479.7297436986187,20232.034420083008,0.0,0.2,517.580670397263,5.642924064800354,511.93774633246267,9,9,0.6269915627556271,0.014756756876537665,9076,9076,9,0.6269915627556271,8000.0,100.0,0.2,0.02,3028,0.008096354287455894
94,20854.405176755372,645.3848357649994,32.31313167133195,22323.650061498873,1569.24488474335,20754.40517675552,0.0,0.2,611.8858977172458,89.51514104473131,522.3707566725145,222,222,0.4032213560573549,0.032988953753250026,9348,9348,222,0.4032213560573549,8000.0,100.0,0.2,0.02,3088,0.009148091752782583
95,21282.045314114093,413.12704486313186,51.51452943770551,22809.73936289404,1627.694048779803,21182.04531411424,0.0,0.2,486.08930139516815,58.44916403645311,427.64013735871504,153,153,0.38202067997681677,0.0023579966561613273,9439,9439,153,0.38202067997681677,8000.0,100.0,0.2,0.02,3149,0.01028112707824879
96,21637.02230523245,902.7586009410222,23.967672290995996,23289.78626982581,1752.7639645931965,21537.022305232615,0.0,0.2,480.0469069317696,125.06991581339344,354.9769911183762,318,318,0.3933016220546964,0.001,9733,9733,318,0.3933016220546964,8000.0,100.0,0.2,0.02,3211,0.011626681035338338
97,22125.88257237857,200.1950153998037,110.52164574723105,23807.28407496261,1781.4015025838828,22025.882572378727,0.0,0.2,517.497805136798,28.63753799068627,488.8602671461117,70,70,0.4091076855812315,0.00838637763917767,9720,9720,70,0.4091076855812315,8000.0,100.0,0.2,0.02,3275,0.01085412270667432
98,22520.477942951635,761.932412316161,29.5570546401783,24307.77450891718,1887.2965659653973,22420.477942951784,0.0,0.2,500.4904339545719,105.89506338151455,394.5953705730574,258,258,0.4104459820988993,0.001,9991,9991,258,0.4104459820988993,8000.0,100.0,0.2,0.02,3340,0.011724019573112273
99,22997.015581581105,313.7193964296619,73.30441102240613,24827.22227814736,1930.2066965661068,22897.015581581254,0.0,0.2,519.4477692301807,42.91013060070941,476.5376386294713,97,97,0.4423724804196752,0.001,10435,10435,97,0.4423724804196752,8000.0,100.0,0.2,0.02,3406,0.011478658911830194
100,23639.08856101155,508.7374810264285,46.466182348737775,25541.350576403882,2002.2620153921782,23539.088561011704,0.0,0.2,714.1282982565208,72.05531882607147,642.0729794304493,169,169,0.42636283329036107,0.03610936703535349,10525,10525,169,0.42636283329036107,8000.0,100.0,0.2,0.02,3474,0.011584030109540214
101,24125.38682010262,316.3516783151696,76.26128917219583,26072.09448536371,2046.7076652609242,24025.386820102784,0.0,0.2,530.7439089598265,44.44564986874593,486.2982590910806,108,108,0.4115337950809718,0.001,10702,10702,108,0.4115337950809718,8000.0,100.0,0.2,0.02,3543,0.011511025618871152
102,24634.543521324682,240.04418517813178,102.62503756566277,26615.213176879206,2080.6696555543626,24534.543521324842,0.0,0.2,543.1186915154976,33.961990293438475,509.15670122205916,93,93,0.36518269132730863,0.001,10806,10806,93,0.36518269132730863,8000.0,100.0,0.2,0.02,3613,0.011439950674016954
103,25243.02074014678,479.62260764306484,52.6310068330487,27290.501465108453,2147.4807249615233,25143.02074014693,0.0,0.2,675.288288229247,66.81106940716063,608.4772188220863,187,187,0.3572784460275887,0.02281848559672713,11082,11082,187,0.3572784460275887,8000.0,100.0,0.2,0.02,3685,0.011499193650450299
104,25955.951344436176,36.54529474104886,710.2405803087314,28008.623314111308,2152.6719696749788,25855.95134443633,0.0,0.2,718.121849002855,5.1912447134554895,712.9306042893995,13,13,0.39932651641972544,0.028939773979467395,11145,11145,13,0.39932651641972544,8000.0,100.0,0.2,0.02,3758,0.010570837539117632
105,26653.581020712405,41.221648835356724,646.5918218645111,28711.931864987593,2158.3508442750363,26553.581020712558,0.0,0.2,703.3085508762852,5.6788746000574974,697.6296762762277,15,15,0.37859164000383244,0.023250463395292565,11557,11557,15,0.37859164000383244,8000.0,100.0,0.2,0.02,3833,0.009838343061201932
106,27157.07352567292,1197.6539923129192,22.67522481449501,29385.23944563587,2328.16591996283,27057.07352567304,0.0,0.2,673.3075806482775,169.81507568779352,503.492504960484,415,415,0.4091929534645548,0.016143279476885878,11644,11644,415,0.4091929534645548,8000.0,100.0,0.2,0.02,3909,0.011698582633179787
107,27764.02135591291,890.3588544855199,31.182956418124153,30116.791714490693,2452.77035857764,27664.021355913053,0.0,0.2,731.5522688548226,124.60443861481008,606.9478302400125,300,300,0.41534812871603227,0.026286408298400905,11886,11886,300,0.41534812871603227,8000.0,100.0,0.2,0.02,3987,0.011877143542391316
